session_id,t_end,label,r0_bot,r0_top,dr0_bot,dr0_top,r1_bot,r1_top,dr1_bot,dr1_top,r2_bot,r2_top,dr2_bot,dr2_top,r3_bot,r3_top,dr3_bot,dr3_top,r4_bot,r4_top,dr4_bot,dr4_top
S1,1756553740,0,0.573846669,4.809293087,-1.250775784,-5.562555476,0.94810337,4.171198868,4.950163589,-8.43985095,0.992975327,4.02318282,0.569881029,-1.879827484,1.239072234,3.916031154,3.079077295,-1.340643671,1.026498904,4.376494031,-2.61068865,5.655108324
S1,1756553741,0,0.94810337,4.171198868,4.950163589,-8.43985095,0.992975327,4.02318282,0.569881029,-1.879827484,1.239072234,3.916031154,3.079077295,-1.340643671,1.026498904,4.376494031,-2.61068865,5.655108324,0.809567786,4.706952305,-2.43562784,3.710271627
S1,1756553742,1,0.992975327,4.02318282,0.569881029,-1.879827484,1.239072234,3.916031154,3.079077295,-1.340643671,1.026498904,4.376494031,-2.61068865,5.655108324,0.809567786,4.706952305,-2.43562784,3.710271627,0.460108683,5.031073444,-4.382164788,4.064430518
S1,1756553743,1,1.239072234,3.916031154,3.079077295,-1.340643671,1.026498904,4.376494031,-2.61068865,5.655108324,0.809567786,4.706952305,-2.43562784,3.710271627,0.460108683,5.031073444,-4.382164788,4.064430518,0.632455532,5.234500931,1.939235061,2.288952292
S1,1756553744,0,1.026498904,4.376494031,-2.61068865,5.655108324,0.809567786,4.706952305,-2.43562784,3.710271627,0.460108683,5.031073444,-4.382164788,4.064430518,0.632455532,5.234500931,1.939235061,2.288952292,0.828733974,5.185248306,2.372332172,-0.595295057
S1,1756553745,0,0.809567786,4.706952305,-2.43562784,3.710271627,0.460108683,5.031073444,-4.382164788,4.064430518,0.632455532,5.234500931,1.939235061,2.288952292,0.828733974,5.185248306,2.372332172,-0.595295057,0.256320112,5.240772844,-7.339216062,0.711908993
S1,1756553746,0,0.460108683,5.031073444,-4.382164788,4.064430518,0.632455532,5.234500931,1.939235061,2.288952292,0.828733974,5.185248306,2.372332172,-0.595295057,0.256320112,5.240772844,-7.339216062,0.711908993,0.891852006,5.338108279,8.137887757,1.24636522
S1,1756553747,1,0.632455532,5.234500931,1.939235061,2.288952292,0.828733974,5.185248306,2.372332172,-0.595295057,0.256320112,5.240772844,-7.339216062,0.711908993,0.891852006,5.338108279,8.137887757,1.24636522,0.705762,4.959647165,-2.064343768,-4.198365399
S1,1756553748,1,0.828733974,5.185248306,2.372332172,-0.595295057,0.256320112,5.240772844,-7.339216062,0.711908993,0.891852006,5.338108279,8.137887757,1.24636522,0.705762,4.959647165,-2.064343768,-4.198365399,0.631506136,4.381643527,-1.156364201,-9.001076604
S1,1756553749,0,0.256320112,5.240772844,-7.339216062,0.711908993,0.891852006,5.338108279,8.137887757,1.24636522,0.705762,4.959647165,-2.064343768,-4.198365399,0.631506136,4.381643527,-1.156364201,-9.001076604,1.119866063,3.905649754,5.665976965,-5.522504212
